Article ID,Title,DOI,Authors,Year,Month,Volume,Issue,Pages
2019-30-7-963,Schema and Motor-Memory Consolidation,https://doi.org/10.1177/0956797619847164,,,,,,
2019-30-7-979,The Grateful Don’t Cheat: Gratitude as a Fount of Virtue,https://doi.org/10.1177/0956797619848351,,,,,,
2019-30-7-989,Memory for Repeated Images in Rapid-Serial-Visual-Presentation Streams of Thousands of Images,https://doi.org/10.1177/0956797619842251,,,,,,
2019-30-7-1001,Aversive Imagery Causes De Novo Fear Conditioning,https://doi.org/10.1177/0956797619842261,,,,,,
2019-30-7-1016,Individual Differences in the Association Between Subjective Stress and Heart Rate Are Related to Psychological and Physical Well-Being,https://doi.org/10.1177/0956797619849555,,,,,,
2019-30-7-1030,Perceived Weight Discrimination Mediates the Prospective Association Between Obesity and Physiological Dysregulation: Evidence From a Population-Based Cohort,https://doi.org/10.1177/0956797619849440,,,,,,
2019-30-7-1040,The Protective Effects of Supportive Parenting on the Relationship Between Adolescent Poverty and Resting-State Functional Brain Connectivity During Adulthood,https://doi.org/10.1177/0956797619847989,,,,,,
2019-30-7-1050,Variation in the μ-Opioid Receptor Gene (OPRM1) Does Not Moderate Social-Rejection Sensitivity in Humans,https://doi.org/10.1177/0956797619849894,,,,,,
2019-30-7-1063,Reaching to the Self: The Development of Infants’ Ability to Localize Targets on the Body,https://doi.org/10.1177/0956797619850168,,,,,,
2019-30-7-1074,A Case of Evolutionary Mismatch? Why Facial Width-to-Height Ratio May Not Predict Behavioral Tendencies,https://doi.org/10.1177/0956797619849928,,,,,,